date,steps,grossCalories,calories,distanceInMeters,activeTimeInSeconds
"06/18/2015, 2:45:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 3:00:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 3:15:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/18/2015, 3:30:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 3:45:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 4:00:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/18/2015, 4:15:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 4:30:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 4:45:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/18/2015, 5:00:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 5:15:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 5:30:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/18/2015, 5:45:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 6:00:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 6:15:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/18/2015, 6:30:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 6:45:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 7:00:00 AM -0400",16.0,0.3,0.3,12.0,0.0
"06/18/2015, 7:15:00 AM -0400",12.0,0.2,0.2,6.0,0.0
"06/18/2015, 7:30:00 AM -0400",5.0,0.1,0.1,0.0,0.0
"06/18/2015, 7:45:00 AM -0400",5.0,0.1,0.1,0.0,0.0
"06/18/2015, 8:00:00 AM -0400",18.0,0.3,0.3,7.0,0.0
"06/18/2015, 8:15:00 AM -0400",32.0,0.6,0.6,15.0,0.0
"06/18/2015, 8:30:00 AM -0400",26.0,0.5,0.5,11.0,0.0
"06/18/2015, 8:45:00 AM -0400",389.0,12.1,7.3,303.0,300.0
"06/18/2015, 9:00:00 AM -0400",5.0,0.1,0.1,0.0,0.0
"06/18/2015, 9:15:00 AM -0400",4.0,0.1,0.1,0.0,0.0
"06/18/2015, 9:30:00 AM -0400",5.0,0.1,0.1,0.0,0.0
"06/18/2015, 9:45:00 AM -0400",5.0,0.1,0.1,0.0,0.0
"06/18/2015, 10:00:00 AM -0400",5.0,0.1,0.1,0.0,0.0
"06/18/2015, 10:15:00 AM -0400",5.0,0.1,0.1,0.0,0.0
"06/18/2015, 10:30:00 AM -0400",88.0,2.6,1.7,64.0,60.0
"06/18/2015, 10:45:00 AM -0400",444.0,13.1,8.3,353.0,300.0
"06/18/2015, 11:00:00 AM -0400",193.0,3.6,3.6,165.0,0.0
"06/18/2015, 11:15:00 AM -0400",373.0,9.9,7.0,333.0,180.0
"06/18/2015, 11:30:00 AM -0400",603.0,18.9,11.3,510.0,480.0
"06/18/2015, 11:45:00 AM -0400",15.0,0.3,0.3,11.0,0.0
"06/18/2015, 12:00:00 PM -0400",7.0,0.1,0.1,0.0,0.0
"06/18/2015, 12:15:00 PM -0400",5.0,0.1,0.1,0.0,0.0
"06/18/2015, 12:30:00 PM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 12:45:00 PM -0400",0.0,0.0,0.0,0.0,0.0
"06/18/2015, 1:00:00 PM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 1:15:00 PM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 1:30:00 PM -0400",0.0,0.0,0.0,0.0,0.0
"06/18/2015, 1:45:00 PM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 2:00:00 PM -0400",0.0,0.0,0.0,0.0,0.0
"06/18/2015, 2:15:00 PM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 2:30:00 PM -0400",0.0,0.0,0.0,0.0,0.0
"06/18/2015, 2:45:00 PM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 3:00:00 PM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 3:15:00 PM -0400",0.0,0.0,0.0,0.0,0.0
"06/18/2015, 3:30:00 PM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 3:45:00 PM -0400",16.0,0.3,0.3,10.0,0.0
"06/18/2015, 4:00:00 PM -0400",25.0,0.5,0.5,15.0,0.0
"06/18/2015, 4:15:00 PM -0400",25.0,0.5,0.5,15.0,0.0
"06/18/2015, 4:30:00 PM -0400",25.0,0.5,0.5,15.0,0.0
"06/18/2015, 4:45:00 PM -0400",25.0,0.5,0.5,15.0,0.0
"06/18/2015, 5:00:00 PM -0400",25.0,0.5,0.5,15.0,0.0
"06/18/2015, 5:15:00 PM -0400",25.0,0.5,0.5,15.0,0.0
"06/18/2015, 5:30:00 PM -0400",57.0,1.1,1.1,39.0,0.0
"06/18/2015, 5:45:00 PM -0400",153.0,3.8,2.9,116.0,60.0
"06/18/2015, 6:00:00 PM -0400",1468.0,42.1,28.9,1242.0,840.0
"06/18/2015, 6:15:00 PM -0400",166.0,5.0,3.1,131.0,120.0
"06/18/2015, 6:30:00 PM -0400",23.0,0.4,0.4,15.0,0.0
"06/18/2015, 6:45:00 PM -0400",18.0,0.3,0.3,8.0,0.0
"06/18/2015, 7:00:00 PM -0400",10.0,0.2,0.2,0.0,0.0
"06/18/2015, 7:15:00 PM -0400",42.0,0.8,0.8,35.0,0.0
"06/18/2015, 7:30:00 PM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 7:45:00 PM -0400",2.0,0.0,0.0,0.0,0.0
"06/18/2015, 8:00:00 PM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 8:15:00 PM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 8:30:00 PM -0400",2.0,0.0,0.0,0.0,0.0
"06/18/2015, 8:45:00 PM -0400",1.0,0.0,0.0,0.0,0.0
"06/18/2015, 9:00:00 PM -0400",81.0,2.5,1.5,88.0,60.0
"06/18/2015, 9:15:00 PM -0400",1934.0,72.9,59.6,1722.0,840.0
"06/18/2015, 9:30:00 PM -0400",16.0,0.3,0.3,19.0,0.0
"06/18/2015, 9:45:00 PM -0400",0.0,0.0,0.0,0.0,0.0
"06/18/2015, 10:00:00 PM -0400",0.0,0.0,0.0,0.0,0.0
"06/18/2015, 10:15:00 PM -0400",0.0,0.0,0.0,0.0,0.0
"06/18/2015, 10:30:00 PM -0400",0.0,0.0,0.0,0.0,0.0
"06/18/2015, 10:45:00 PM -0400",0.0,0.0,0.0,0.0,0.0
"06/18/2015, 11:00:00 PM -0400",0.0,0.0,0.0,0.0,0.0
"06/18/2015, 11:15:00 PM -0400",0.0,0.0,0.0,0.0,0.0
"06/18/2015, 11:30:00 PM -0400",0.0,0.0,0.0,0.0,0.0
"06/18/2015, 11:45:00 PM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 12:00:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 12:15:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 12:30:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 12:45:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 1:00:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 1:15:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 1:30:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 1:45:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 2:00:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 2:15:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 2:30:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 2:45:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 3:00:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 3:15:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 3:30:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 3:45:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 4:00:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 4:15:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 4:30:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 4:45:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 5:00:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 5:15:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 5:30:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 5:45:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 6:00:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 6:15:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 6:30:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 6:45:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 7:00:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 7:15:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 7:30:00 AM -0400",3.0,0.1,0.1,3.0,0.0
"06/19/2015, 7:45:00 AM -0400",74.0,1.4,1.4,64.0,0.0
"06/19/2015, 8:00:00 AM -0400",75.0,2.4,1.4,61.0,60.0
"06/19/2015, 8:15:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/19/2015, 8:30:00 AM -0400",87.0,2.6,1.6,61.0,60.0
"06/19/2015, 8:45:00 AM -0400",524.0,16.5,9.8,434.0,420.0
"06/19/2015, 9:00:00 AM -0400",14.0,0.3,0.3,0.0,0.0
"06/19/2015, 9:15:00 AM -0400",18.0,0.3,0.3,5.0,0.0
"06/19/2015, 9:30:00 AM -0400",61.0,2.1,1.1,42.0,60.0
"06/19/2015, 9:45:00 AM -0400",681.0,20.4,12.8,518.0,480.0
"06/19/2015, 10:00:00 AM -0400",58.0,1.1,1.1,39.0,0.0
"06/19/2015, 10:15:00 AM -0400",15.0,0.3,0.3,15.0,0.0
"06/19/2015, 10:30:00 AM -0400",36.0,0.7,0.7,30.0,0.0
"06/19/2015, 10:45:00 AM -0400",177.0,5.2,3.3,147.0,120.0
"06/19/2015, 11:00:00 AM -0400",2.0,0.0,0.0,0.0,0.0
"06/19/2015, 11:15:00 AM -0400",2.0,0.0,0.0,0.0,0.0
"06/19/2015, 11:30:00 AM -0400",2.0,0.0,0.0,0.0,0.0
"06/19/2015, 11:45:00 AM -0400",58.0,1.1,1.1,56.0,0.0
"06/19/2015, 12:00:00 PM -0400",215.0,6.9,4.0,170.0,180.0
"06/19/2015, 12:15:00 PM -0400",26.0,0.5,0.5,15.0,0.0
